activo,estrategia,dias_reales,trades,trades_por_dia,win_rate_%,profit_factor,roi_%,max_drawdown_%,racha_perdidas_max,racha_ganancias_max,comisiones_usdt
NASDAQ100,V1_sniper,100.0,34,0.34,47.1,0.98,-0.88,-18.9,7,4,157.26
NASDAQ100,V5_fibonacci,240.0,53,0.221,49.1,0.57,-25.53,-28.9,7,5,131.63
NASDAQ100,V10_bb_rsi,240.0,131,0.546,34.4,0.52,-65.74,-66.73,12,4,466.04
GOOGL,V1_sniper,100.0,36,0.36,52.8,1.27,11.73,-16.16,7,4,122.52
GOOGL,V5_fibonacci,240.0,60,0.25,60.0,1.18,11.05,-17.31,6,6,159.94
GOOGL,V10_bb_rsi,240.0,132,0.55,37.1,0.64,-47.58,-55.9,8,4,469.58
META,V1_sniper,100.0,40,0.4,67.5,3.06,75.46,-6.3,3,5,187.28
META,V5_fibonacci,240.0,43,0.179,60.5,0.91,-3.58,-10.76,3,4,100.98
META,V10_bb_rsi,240.0,143,0.596,42.0,0.82,-28.66,-36.65,7,6,487.36
NVDA,V1_sniper,100.0,29,0.29,69.0,2.32,39.16,-7.13,3,7,113.48
NVDA,V5_fibonacci,239.5,57,0.238,47.4,0.64,-22.79,-23.82,5,7,119.42
NVDA,V10_bb_rsi,239.5,133,0.555,42.9,0.87,-20.52,-34.17,7,5,480.6
