symbol,estrategia,trades,trades_dia,win_rate,profit_factor,rent_mensual,dd_max,capital_ini,capital_fin,pnl,gross_profit,gross_loss
SILVER/USD,V1,12,0.12,66.7,2.65,4.31,-4.6,1000.0,1149.0,149.0,239.46,90.46
SP500/USD,V1,18,0.18,61.1,1.35,2.18,-5.7,1000.0,1073.45,73.45,282.44,208.99
NASDAQ100/USD,V1,29,0.29,55.2,1.47,4.45,-5.6,1000.0,1153.91,153.91,480.48,326.57
OIL_BRENT/USD,V1,18,0.18,61.1,2.39,7.21,-5.4,1000.0,1257.47,257.47,442.17,184.7
XAUT,V1,10,0.1,50.0,1.29,1.18,-6.9,1000.0,1039.4,39.4,176.83,137.42
AMZN/USD,V1,31,0.317,41.9,1.12,1.52,-8.7,1000.0,1049.65,49.65,468.39,418.74
ADA,V1,7,0.07,42.9,1.43,1.13,-6.5,1000.0,1037.54,37.54,124.09,86.55
BNB,V1,46,0.459,56.5,1.67,10.39,-15.2,1000.0,1384.54,384.54,955.67,571.13
AAPL/USD,V1,30,0.3,50.0,1.55,5.65,-8.9,1000.0,1198.26,198.26,557.23,358.97
ETH,V1,30,0.3,60.0,2.12,10.69,-5.4,1000.0,1396.64,396.64,750.4,353.76
HYPE,V1,37,0.369,59.5,2.59,18.76,-9.4,1000.0,1760.78,760.78,1237.8,477.02
SOL,V1,30,0.3,43.3,1.21,2.53,-15.2,1000.0,1085.51,85.51,499.81,414.3
BTC,V1,3,0.03,66.7,1.84,0.59,-2.3,1000.0,1019.56,19.56,42.86,23.3
BTC,V10,62,0.619,50.0,1.42,7.1,-14.5,1000.0,1253.4,253.4,857.38,603.98
ETH,V10,67,0.669,50.7,1.67,13.72,-16.2,1000.0,1526.45,526.45,1312.87,786.42
HYPE,V10,67,0.669,41.8,1.07,2.17,-29.0,1000.0,1073.23,73.23,1133.39,1060.16
SOL,V10,72,0.719,44.4,1.06,1.62,-30.5,1000.0,1054.31,54.31,1022.08,967.76
ADA,V10,75,0.749,46.7,1.13,3.2,-15.7,1000.0,1109.26,109.26,970.81,861.55
BNB,V10,49,0.489,40.8,1.13,2.48,-15.0,1000.0,1083.9,83.9,748.52,664.62
