percentile,rr,trades,win_rate,pf,retorno
0,1.5,32,53.125,1.2288640860692832,7.962151360408734
0,2.0,32,40.625,1.004871608188159,0.22700814599652405
0,2.5,32,37.5,1.082742594157878,4.298218094284789
0,3.0,32,37.5,1.2819087037476573,15.830796406987133
20,1.5,16,50.0,1.0959879589968542,1.7121950467847116
20,2.0,16,37.5,0.8936689954919128,-2.4698619594423805
20,2.5,16,31.25,0.8627067806745108,-3.597731318853983
20,3.0,16,31.25,1.0408013001245793,1.1059267234672119
30,1.5,10,30.0,0.45752082264967264,-7.989331455455533
30,2.0,10,30.0,0.6480300002860094,-5.2642752496175715
30,2.5,10,20.0,0.4762100361831724,-9.019005690106518
30,3.0,10,20.0,0.5833973814255622,-7.2641779765862795
40,1.5,7,28.57142857142857,0.44857822781586976,-5.44659381650157
40,2.0,7,28.57142857142857,0.6371447961148005,-3.5896669461960187
40,2.5,7,14.285714285714285,0.3182711569983091,-8.299421299159576
40,3.0,7,14.285714285714285,0.39204545343755137,-7.419285537921792
50,1.5,1,0.0,0.0,-2.429726894121632
50,2.0,1,0.0,0.0,-2.429726894121632
50,2.5,1,0.0,0.0,-2.429726894121632
50,3.0,1,0.0,0.0,-2.429726894121632
60,1.5,0,,,0.0
60,2.0,0,,,0.0
60,2.5,0,,,0.0
60,3.0,0,,,0.0
70,1.5,0,,,0.0
70,2.0,0,,,0.0
70,2.5,0,,,0.0
70,3.0,0,,,0.0
80,1.5,0,,,0.0
80,2.0,0,,,0.0
80,2.5,0,,,0.0
80,3.0,0,,,0.0
90,1.5,0,,,0.0
90,2.0,0,,,0.0
90,2.5,0,,,0.0
90,3.0,0,,,0.0
