pase,anchor,confirmer,symbol,horizon,n_signals,n_conclusive,hit_rate,avg_ret_aligned_pct
A_1h_1h,rsi,(solo),BTC,1,408,274,49.3,0.014
A_1h_1h,rsi,macd,BTC,1,38,26,57.7,0.086
A_1h_1h,rsi,bb,BTC,1,6,4,50.0,-0.0
A_1h_1h,rsi,ema,BTC,1,8,5,60.0,0.079
A_1h_1h,rsi,adx,BTC,1,398,267,49.1,0.014
A_1h_1h,rsi,vol,BTC,1,206,142,46.5,-0.002
A_1h_1h,rsi,(solo),BTC,2,408,306,49.3,-0.029
A_1h_1h,rsi,macd,BTC,2,38,29,58.6,0.078
A_1h_1h,rsi,bb,BTC,2,6,5,40.0,-0.414
A_1h_1h,rsi,ema,BTC,2,8,7,57.1,0.181
A_1h_1h,rsi,adx,BTC,2,398,297,48.8,-0.033
A_1h_1h,rsi,vol,BTC,2,206,164,48.2,-0.022
A_1h_1h,rsi,(solo),BTC,4,408,329,51.1,-0.005
A_1h_1h,rsi,macd,BTC,4,38,34,55.9,0.101
A_1h_1h,rsi,bb,BTC,4,6,6,50.0,-0.38
A_1h_1h,rsi,ema,BTC,4,8,6,66.7,0.474
A_1h_1h,rsi,adx,BTC,4,398,320,51.2,-0.007
A_1h_1h,rsi,vol,BTC,4,206,168,51.2,0.055
A_1h_1h,macd,(solo),BTC,1,13126,7814,48.3,-0.001
A_1h_1h,macd,rsi,BTC,1,6881,4176,46.9,0.001
A_1h_1h,macd,bb,BTC,1,7025,4271,46.8,-0.0
A_1h_1h,macd,ema,BTC,1,6506,3946,47.2,-0.001
A_1h_1h,macd,adx,BTC,1,9325,5832,47.9,-0.005
A_1h_1h,macd,vol,BTC,1,4704,3113,49.0,0.011
A_1h_1h,macd,(solo),BTC,2,13125,9195,48.7,-0.001
A_1h_1h,macd,rsi,BTC,2,6880,4873,46.5,-0.001
A_1h_1h,macd,bb,BTC,2,7025,4969,46.3,0.0
A_1h_1h,macd,ema,BTC,2,6505,4644,46.9,-0.004
A_1h_1h,macd,adx,BTC,2,9324,6739,48.3,-0.008
A_1h_1h,macd,vol,BTC,2,4704,3556,49.1,0.019
A_1h_1h,macd,(solo),BTC,4,13123,10190,49.7,0.001
A_1h_1h,macd,rsi,BTC,4,6880,5391,47.3,0.002
A_1h_1h,macd,bb,BTC,4,7025,5490,47.0,0.003
A_1h_1h,macd,ema,BTC,4,6503,5133,47.6,-0.005
A_1h_1h,macd,adx,BTC,4,9322,7407,49.3,-0.009
A_1h_1h,macd,vol,BTC,4,4704,3804,49.7,0.026
A_1h_1h,bb,(solo),BTC,1,2357,1476,53.3,0.018
A_1h_1h,bb,rsi,BTC,1,270,173,54.3,0.052
A_1h_1h,bb,macd,BTC,1,273,172,59.9,0.054
A_1h_1h,bb,ema,BTC,1,572,341,53.1,0.031
A_1h_1h,bb,adx,BTC,1,1769,1153,53.9,0.024
A_1h_1h,bb,vol,BTC,1,1094,735,53.7,0.037
A_1h_1h,bb,(solo),BTC,2,2357,1727,53.9,0.028
A_1h_1h,bb,rsi,BTC,2,270,199,53.3,0.072
A_1h_1h,bb,macd,BTC,2,273,202,58.9,0.086
A_1h_1h,bb,ema,BTC,2,572,411,55.0,0.049
A_1h_1h,bb,adx,BTC,2,1769,1341,54.7,0.036
A_1h_1h,bb,vol,BTC,2,1094,844,54.0,0.066
