pase,anchor,confirmer,horizon,n_conclusive_total,symbols_hit_over_55pct,symbols_con_datos,pooled_hit_rate,avg_ret_aligned_pct_mean
A_1h_1h,bb,(solo),1,9017,0,10,50.8,-0.002
A_1h_1h,bb,(solo),2,10338,0,10,51.2,-0.005
A_1h_1h,bb,(solo),4,11409,1,10,52.1,-0.006
A_1h_1h,bb,adx,1,6514,0,10,50.9,-0.005
A_1h_1h,bb,adx,2,7506,0,10,51.4,-0.012
A_1h_1h,bb,adx,4,8218,1,10,52.1,-0.014
A_1h_1h,bb,ema,1,2287,1,10,50.3,0.01
A_1h_1h,bb,ema,2,2643,1,10,50.7,0.015
A_1h_1h,bb,ema,4,2943,1,10,52.2,0.016
A_1h_1h,bb,macd,1,1106,3,10,51.5,0.003
A_1h_1h,bb,macd,2,1256,4,10,52.4,0.022
A_1h_1h,bb,macd,4,1413,3,10,52.0,0.022
A_1h_1h,bb,rsi,1,1151,0,10,47.4,-0.004
A_1h_1h,bb,rsi,2,1311,0,10,47.7,-0.015
A_1h_1h,bb,rsi,4,1469,0,10,50.1,0.004
A_1h_1h,bb,vol,1,4643,0,10,50.0,-0.001
A_1h_1h,bb,vol,2,5255,0,10,49.8,-0.007
A_1h_1h,bb,vol,4,5644,0,10,51.4,-0.014
A_1h_1h,macd,(solo),1,45583,0,10,48.4,-0.009
A_1h_1h,macd,(solo),2,53081,0,10,48.4,-0.016
A_1h_1h,macd,(solo),4,59550,0,10,49.1,-0.018
A_1h_1h,macd,adx,1,32353,0,10,48.2,-0.012
A_1h_1h,macd,adx,2,37502,0,10,48.2,-0.022
A_1h_1h,macd,adx,4,41794,0,10,49.0,-0.021
A_1h_1h,macd,bb,1,24964,0,10,47.0,-0.012
A_1h_1h,macd,bb,2,28820,0,10,46.8,-0.019
A_1h_1h,macd,bb,4,32153,0,10,47.5,-0.018
A_1h_1h,macd,ema,1,23020,0,10,47.9,-0.008
A_1h_1h,macd,ema,2,26607,0,10,47.6,-0.016
A_1h_1h,macd,ema,4,29747,0,10,48.0,-0.015
A_1h_1h,macd,rsi,1,24674,0,10,47.1,-0.011
A_1h_1h,macd,rsi,2,28491,0,10,46.8,-0.02
A_1h_1h,macd,rsi,4,31775,0,10,47.5,-0.018
A_1h_1h,macd,vol,1,18906,0,10,48.1,-0.006
A_1h_1h,macd,vol,2,21512,0,10,48.2,-0.016
A_1h_1h,macd,vol,4,23343,0,10,49.3,-0.0
A_1h_1h,rsi,(solo),1,1540,1,10,48.4,-0.026
A_1h_1h,rsi,(solo),2,1811,0,10,48.5,-0.049
A_1h_1h,rsi,(solo),4,1919,0,10,49.7,-0.045
A_1h_1h,rsi,adx,1,1460,1,10,47.9,-0.031
A_1h_1h,rsi,adx,2,1721,0,10,48.0,-0.057
A_1h_1h,rsi,adx,4,1818,0,10,49.3,-0.058
A_1h_1h,rsi,bb,1,44,1,10,40.9,-0.027
A_1h_1h,rsi,bb,2,47,2,10,42.5,-0.048
A_1h_1h,rsi,bb,4,56,3,10,51.8,0.604
A_1h_1h,rsi,ema,1,43,5,9,60.5,0.054
A_1h_1h,rsi,ema,2,47,8,9,66.0,0.177
A_1h_1h,rsi,ema,4,50,7,10,64.0,0.326
A_1h_1h,rsi,macd,1,194,2,10,47.4,-0.055
A_1h_1h,rsi,macd,2,234,3,10,50.4,-0.071
A_1h_1h,rsi,macd,4,256,3,10,49.2,0.001
A_1h_1h,rsi,vol,1,813,2,10,48.6,-0.009
A_1h_1h,rsi,vol,2,970,1,10,49.2,-0.053
A_1h_1h,rsi,vol,4,995,1,10,50.2,-0.046
B_1h_4h,bb,adx,1,6278,0,10,51.0,0.001
B_1h_4h,bb,adx,2,7166,1,10,51.8,-0.002
B_1h_4h,bb,adx,4,7817,1,10,52.7,0.002
B_1h_4h,bb,ema,1,3340,6,10,54.8,0.042
B_1h_4h,bb,ema,2,3824,5,10,55.6,0.069
B_1h_4h,bb,ema,4,4232,5,10,56.0,0.075
B_1h_4h,bb,macd,1,2724,7,10,55.5,0.05
B_1h_4h,bb,macd,2,3161,8,10,56.8,0.084
B_1h_4h,bb,macd,4,3550,6,10,56.5,0.11
B_1h_4h,bb,rsi,1,2491,10,10,61.1,0.102
B_1h_4h,bb,rsi,2,2889,10,10,63.0,0.168
B_1h_4h,bb,rsi,4,3220,10,10,61.8,0.189
B_1h_4h,bb,vol,1,5526,0,10,49.2,-0.01
B_1h_4h,bb,vol,2,6227,0,10,49.1,-0.028
B_1h_4h,bb,vol,4,6605,0,10,50.3,-0.044
B_1h_4h,macd,adx,1,32180,0,10,48.3,-0.011
B_1h_4h,macd,adx,2,37415,0,10,48.4,-0.02
B_1h_4h,macd,adx,4,41778,0,10,48.8,-0.023
B_1h_4h,macd,bb,1,22391,4,10,53.5,0.044
B_1h_4h,macd,bb,2,25914,4,10,54.2,0.072
B_1h_4h,macd,bb,4,29027,3,10,53.3,0.091
B_1h_4h,macd,ema,1,22893,0,10,51.3,0.018
B_1h_4h,macd,ema,2,26568,1,10,51.5,0.03
B_1h_4h,macd,ema,4,29736,0,10,51.3,0.037
B_1h_4h,macd,rsi,1,22676,4,10,53.3,0.042
B_1h_4h,macd,rsi,2,26163,3,10,53.9,0.069
B_1h_4h,macd,rsi,4,29278,3,10,53.2,0.087
B_1h_4h,macd,vol,1,21754,0,10,49.7,0.002
B_1h_4h,macd,vol,2,24613,0,10,49.6,-0.007
B_1h_4h,macd,vol,4,26596,0,10,50.4,0.013
B_1h_4h,rsi,adx,1,1220,0,10,48.0,-0.027
B_1h_4h,rsi,adx,2,1417,0,10,48.6,-0.051
B_1h_4h,rsi,adx,4,1486,0,10,50.0,-0.039
B_1h_4h,rsi,bb,1,63,10,10,82.5,0.677
B_1h_4h,rsi,bb,2,70,10,10,85.7,1.092
B_1h_4h,rsi,bb,4,70,10,10,87.1,1.386
B_1h_4h,rsi,ema,1,269,7,10,58.0,0.101
B_1h_4h,rsi,ema,2,329,8,10,61.7,0.152
B_1h_4h,rsi,ema,4,347,7,10,57.1,0.078
B_1h_4h,rsi,macd,1,105,8,10,66.7,0.129
B_1h_4h,rsi,macd,2,132,9,10,63.6,0.214
B_1h_4h,rsi,macd,4,147,8,10,66.0,0.505
B_1h_4h,rsi,vol,1,1047,1,10,47.6,-0.032
B_1h_4h,rsi,vol,2,1214,0,10,48.4,-0.072
B_1h_4h,rsi,vol,4,1233,1,10,49.5,-0.061
C_4h_4h,bb,(solo),1,2739,1,10,51.4,-0.014
C_4h_4h,bb,(solo),2,3021,1,10,51.7,-0.002
C_4h_4h,bb,adx,1,2008,0,10,52.2,0.018
C_4h_4h,bb,adx,2,2216,1,10,52.5,0.051
C_4h_4h,bb,ema,1,726,2,10,50.3,-0.023
C_4h_4h,bb,ema,2,806,1,10,52.0,0.006
C_4h_4h,bb,macd,1,267,4,10,53.2,0.043
C_4h_4h,bb,macd,2,294,4,10,52.7,0.083
C_4h_4h,bb,rsi,1,331,1,10,45.9,-0.023
C_4h_4h,bb,rsi,2,370,3,10,47.6,-0.028
C_4h_4h,bb,vol,1,1351,0,10,51.4,0.02
C_4h_4h,bb,vol,2,1444,1,10,50.1,0.026
C_4h_4h,macd,(solo),1,15014,0,10,49.0,0.003
C_4h_4h,macd,(solo),2,16558,0,10,49.5,0.003
C_4h_4h,macd,adx,1,10508,0,10,48.4,-0.018
C_4h_4h,macd,adx,2,11548,0,10,48.9,-0.024
C_4h_4h,macd,bb,1,8094,0,10,48.0,0.004
C_4h_4h,macd,bb,2,8837,1,10,48.4,0.006
C_4h_4h,macd,ema,1,7489,0,10,48.2,0.006
C_4h_4h,macd,ema,2,8281,1,10,48.8,0.011
C_4h_4h,macd,rsi,1,8025,0,10,48.0,0.004
C_4h_4h,macd,rsi,2,8804,1,10,48.8,0.011
C_4h_4h,macd,vol,1,6522,0,10,49.4,0.015
C_4h_4h,macd,vol,2,7001,0,10,49.5,0.011
C_4h_4h,rsi,(solo),1,483,4,10,52.0,0.037
C_4h_4h,rsi,(solo),2,544,2,10,50.4,0.099
C_4h_4h,rsi,adx,1,459,3,10,51.6,0.031
C_4h_4h,rsi,adx,2,520,1,10,50.0,0.082
C_4h_4h,rsi,bb,1,10,1,6,20.0,-0.139
C_4h_4h,rsi,bb,2,10,2,6,20.0,-0.015
C_4h_4h,rsi,ema,1,3,1,3,33.3,-0.185
C_4h_4h,rsi,ema,2,5,3,5,60.0,0.331
C_4h_4h,rsi,macd,1,78,5,10,53.9,0.209
C_4h_4h,rsi,macd,2,80,4,10,46.2,0.244
C_4h_4h,rsi,vol,1,268,4,10,52.6,0.024
C_4h_4h,rsi,vol,2,300,2,10,49.0,0.075
