,SILVER/USD,SP500/USD,NASDAQ100/USD,OIL_BRENT/USD,XAUT,AMZN/USD,ADA,BNB,AAPL/USD,ETH,HYPE,SOL,BTC
SILVER/USD,1.0,0.5786599395260592,0.5282517116450959,-0.34589349711624007,0.8882699996289511,0.26077722555365696,0.36070647037935444,0.3113111614787995,0.16980072572466132,0.33822994565320175,0.27268458760193437,0.3339572306638281,0.36015298755655034
SP500/USD,0.5786599395260592,1.0,0.9207545159819152,-0.4932858432619883,0.4439992846458825,0.5705462306885498,0.4660306086411269,0.5028508115780149,0.28233163756494195,0.5621138043870147,0.3331089206552256,0.5157440391206959,0.5815466125982106
NASDAQ100/USD,0.5282517116450959,0.9207545159819152,1.0,-0.38897618536140655,0.42018150246371155,0.5523549137938064,0.4789046762564182,0.49583740414686456,0.162926533554464,0.5329007229619862,0.36642150090187026,0.49160353872673423,0.5358431063164952
OIL_BRENT/USD,-0.34589349711624007,-0.4932858432619883,-0.38897618536140655,1.0,-0.3337104110209651,-0.2286711760522478,-0.22938336915485982,-0.21861489829613961,-0.2790840608923668,-0.27656942816532515,-0.1662481958876597,-0.2826886132871409,-0.29482318412091435
XAUT,0.8882699996289511,0.4439992846458825,0.42018150246371155,-0.3337104110209651,1.0,0.2918055924902261,0.34209536388412737,0.3214165493870181,0.10456742084908441,0.373932240319542,0.27288335105627826,0.3015287367800154,0.3818159692705975
AMZN/USD,0.26077722555365696,0.5705462306885498,0.5523549137938064,-0.2286711760522478,0.2918055924902261,1.0,0.3394575569808531,0.4258218994372297,0.04809092757895654,0.41859887540168683,0.17606885675954553,0.4176566940990138,0.4668993457755803
ADA,0.36070647037935444,0.4660306086411269,0.4789046762564182,-0.22938336915485982,0.34209536388412737,0.3394575569808531,1.0,0.7560804242176813,0.07782013142596506,0.8175977557084637,0.4503181917005942,0.8305218977296344,0.7834070698127018
BNB,0.3113111614787995,0.5028508115780149,0.49583740414686456,-0.21861489829613961,0.3214165493870181,0.4258218994372297,0.7560804242176813,1.0,0.03994818918047353,0.8188589168367258,0.4335559422591451,0.8321905016490815,0.8443867263920318
AAPL/USD,0.16980072572466132,0.28233163756494195,0.162926533554464,-0.2790840608923668,0.10456742084908441,0.04809092757895654,0.07782013142596506,0.03994818918047353,1.0,0.14768083373591015,0.12245331435388579,0.09153084244267883,0.1004862762299747
ETH,0.33822994565320175,0.5621138043870147,0.5329007229619862,-0.27656942816532515,0.373932240319542,0.41859887540168683,0.8175977557084637,0.8188589168367258,0.14768083373591015,1.0,0.4933468084909014,0.8912668590577887,0.9121967082976757
HYPE,0.27268458760193437,0.3331089206552256,0.36642150090187026,-0.1662481958876597,0.27288335105627826,0.17606885675954553,0.4503181917005942,0.4335559422591451,0.12245331435388579,0.4933468084909014,1.0,0.4949598197777711,0.441755109129715
SOL,0.3339572306638281,0.5157440391206959,0.49160353872673423,-0.2826886132871409,0.3015287367800154,0.4176566940990138,0.8305218977296344,0.8321905016490815,0.09153084244267883,0.8912668590577887,0.4949598197777711,1.0,0.8899830145723809
BTC,0.36015298755655034,0.5815466125982106,0.5358431063164952,-0.29482318412091435,0.3818159692705975,0.4668993457755803,0.7834070698127018,0.8443867263920318,0.1004862762299747,0.9121967082976757,0.441755109129715,0.8899830145723809,1.0
