level_type,rr_ratio,total_trades,win_rate,profit_factor,pnl_net_total,symbols_profitable
asia,2.3,414,49.3,1.15,803.55,8/13
asia,2.0,427,50.4,1.06,308.88,8/13
newyork,2.3,364,45.1,0.99,-59.8,8/13
prevday,2.0,292,47.6,0.98,-55.27,5/13
newyork,2.0,366,47.3,0.95,-240.34,6/13
london,2.3,532,45.9,0.94,-468.56,5/13
london,2.0,542,48.2,0.92,-587.22,5/13
prevday,2.3,288,43.8,0.92,-310.44,3/13
asia,1.5,452,54.0,0.91,-413.92,3/13
london,1.5,573,52.2,0.86,-863.2,5/13
prevday,1.5,303,51.2,0.86,-476.16,4/13
newyork,1.5,388,52.3,0.84,-671.07,5/13
newyork,1.0,423,57.2,0.7,-1122.4,3/13
asia,1.0,481,55.9,0.69,-1318.14,2/13
prevday,1.0,316,55.4,0.65,-1032.23,3/13
london,1.0,617,52.7,0.58,-2363.7,2/13
