stop_mode,atr_mult,wick_buffer_frac,require_pattern,rr_ratio,total_trades,symbols_profitable,symbols_total,pnl_net_total,avg_profit_factor,win_rate_weighted,max_drawdown_worst_pct
atr,1.0,,False,2.0,2446,4,10,-2114.93,0.77,41.8,-96.76805392205982
atr,1.0,,True,2.0,1720,3,10,-2636.34,0.76,41.4,-88.2426521961658
atr,1.2,,False,2.0,2324,4,10,137.2,0.82,42.9,-93.13030375562559
atr,1.2,,True,2.0,1652,3,10,-2361.6,0.76,41.6,-84.55705860227023
atr,1.5,,False,2.0,2152,3,10,1104.04,0.89,45.4,-83.93772361455217
atr,1.5,,True,2.0,1567,3,10,-1266.19,0.82,44.0,-75.12019526941407
atr,1.8,,False,2.0,2026,3,10,84.1,0.88,45.9,-79.69060730218509
atr,1.8,,True,2.0,1493,4,10,-1633.79,0.81,44.1,-73.74745443491244
atr,2.0,,False,2.0,1954,3,10,-488.55,0.89,46.0,-74.9538425128003
atr,2.0,,True,2.0,1459,4,10,-1784.27,0.81,44.1,-68.6561808469436
atr,2.5,,False,2.0,1836,4,10,-460.78,0.91,46.5,-64.55789882425
atr,2.5,,True,2.0,1379,4,10,-1518.53,0.84,44.8,-58.9830522905069
atr,3.0,,False,2.0,1725,4,10,-408.92,0.91,46.4,-52.83860669482458
atr,3.0,,True,2.0,1310,4,10,-1371.16,0.84,45.0,-47.430416373445155
wick,,0.0,False,2.0,2404,2,10,-1670.67,0.71,42.1,-90.30536910144406
wick,,0.0,True,2.0,1668,2,10,-1997.07,0.71,41.7,-82.76944091620909
wick,,0.1,False,2.0,2324,2,10,-1437.6,0.74,42.4,-88.88541210947413
wick,,0.1,True,2.0,1625,3,10,-1254.59,0.74,41.9,-77.9820543750498
wick,,0.2,False,2.0,2269,2,10,-1758.78,0.76,43.1,-84.71199715706689
wick,,0.2,True,2.0,1596,3,10,-1233.03,0.77,42.7,-71.50647947884804
wick,,0.3,False,2.0,2198,2,10,-1472.48,0.78,43.6,-81.46303675797976
wick,,0.3,True,2.0,1563,3,10,-1788.84,0.78,42.7,-68.60301906118687
