symbol,rr,operaciones,trades_dia,win_rate,profit_factor,rent_mensual,drawdown_max
BTC,2.0,303,0.554,50.2,1.27,3.79,-14.5
BTC,2.5,299,0.547,47.8,1.2,2.88,-20.2
BTC,3.0,299,0.547,46.8,1.13,1.89,-20.6
ETH,2.0,376,0.687,49.2,1.25,5.79,-29.3
ETH,2.5,370,0.676,47.6,1.35,7.07,-25.4
ETH,3.0,368,0.673,45.9,1.31,6.43,-27.5
HYPE,2.0,382,0.625,46.9,1.22,6.76,-29.0
HYPE,2.5,380,0.622,42.4,1.16,5.69,-32.7
HYPE,3.0,378,0.618,39.7,1.1,3.75,-41.2
ADA,2.0,330,0.603,49.1,1.34,7.21,-25.9
ADA,2.5,328,0.6,46.6,1.31,7.27,-25.8
ADA,3.0,326,0.596,45.4,1.35,8.09,-29.3
BNB,2.0,243,0.444,48.6,1.14,2.13,-24.8
BNB,2.5,242,0.442,47.1,1.19,3.21,-23.1
BNB,3.0,242,0.442,45.0,1.14,2.34,-36.6
SOL,2.0,345,0.631,45.8,1.16,5.2,-30.5
SOL,2.5,340,0.622,42.9,1.15,4.28,-28.6
SOL,3.0,337,0.616,41.2,1.16,4.54,-35.5
