symbol,rr,operaciones,trades_dia,win_rate,profit_factor,rent_mensual,drawdown_max,r_promedio
BTC,2.0,62,0.619,50.0,1.42,7.1,-14.5,0.197
BTC,2.5,61,0.609,47.5,1.4,6.83,-16.2,0.196
BTC,3.0,61,0.609,47.5,1.59,10.05,-15.4,0.28
ETH,2.0,68,0.679,50.0,1.25,5.46,-16.2,0.147
ETH,2.5,67,0.669,50.7,1.67,13.72,-16.2,0.341
ETH,3.0,66,0.659,47.0,1.48,11.43,-16.2,0.299
HYPE,2.0,67,0.669,41.8,1.07,2.17,-29.0,0.073
HYPE,2.5,66,0.659,33.3,0.88,-4.07,-32.7,-0.08
HYPE,3.0,65,0.649,30.8,0.76,-8.32,-41.2,-0.197
ADA,2.0,75,0.749,46.7,1.13,3.2,-15.7,0.086
ADA,2.5,73,0.729,43.8,1.04,1.18,-15.8,0.045
ADA,3.0,73,0.729,43.8,1.1,2.61,-16.9,0.079
BNB,2.0,49,0.489,42.9,1.02,0.39,-10.1,0.03
BNB,2.5,49,0.489,40.8,1.13,2.48,-15.0,0.104
BNB,3.0,49,0.489,40.8,1.23,4.72,-14.7,0.181
SOL,2.0,72,0.719,44.4,1.06,1.62,-30.5,0.054
SOL,2.5,72,0.719,44.4,1.12,3.5,-28.5,0.099
SOL,3.0,72,0.719,44.4,1.21,6.23,-29.6,0.162
