symbol,rr,operaciones,trades_dia,win_rate,profit_factor,rent_mensual,drawdown_max
BTC,2.0,62,0.619,50.0,1.42,7.1,-14.5
BTC,2.5,61,0.609,47.5,1.4,6.83,-16.2
BTC,3.0,61,0.609,47.5,1.59,10.05,-15.4
ETH,2.0,68,0.679,50.0,1.25,5.46,-16.2
ETH,2.5,67,0.669,50.7,1.67,13.72,-16.2
ETH,3.0,66,0.659,47.0,1.48,11.43,-16.2
HYPE,2.0,67,0.669,41.8,1.07,2.17,-29.0
HYPE,2.5,66,0.659,33.3,0.88,-4.07,-32.7
HYPE,3.0,65,0.649,30.8,0.76,-8.32,-41.2
ADA,2.0,75,0.749,46.7,1.13,3.2,-15.7
ADA,2.5,73,0.729,43.8,1.04,1.18,-15.8
ADA,3.0,73,0.729,43.8,1.1,2.61,-16.9
BNB,2.0,49,0.489,42.9,1.02,0.39,-10.1
BNB,2.5,49,0.489,40.8,1.13,2.48,-15.0
BNB,3.0,49,0.489,40.8,1.23,4.72,-14.7
SOL,2.0,72,0.719,44.4,1.06,1.62,-30.5
SOL,2.5,72,0.719,44.4,1.12,3.5,-28.5
SOL,3.0,72,0.719,44.4,1.21,6.23,-29.6
