activo,dias_historico,trades,trades_semana,win_rate,profit_factor,retorno_pct,max_dd_pct
BTC,252,107,2.97,33.6,0.63,-51.6,-56.74
ETH,252,92,2.56,42.4,1.05,5.86,-25.65
XAUT,252,81,2.25,35.8,0.55,-47.29,-49.79
SP500/USD,249,91,2.56,52.7,0.97,-3.71,-21.19
NASDAQ100/USD,249,85,2.39,49.4,1.08,9.36,-17.15
OIL_BRENT/USD,149,46,2.16,45.7,1.2,13.65,-21.45
SILVER/USD,172,40,1.63,52.5,1.3,16.12,-17.31
HYPE/USD,252,115,3.19,46.1,1.37,62.35,-16.91
AAPL/USD,247,61,1.73,49.2,1.09,6.95,-17.56
AMZN/USD,251,85,2.37,47.1,1.05,7.03,-35.83
