symbol,estrategia,ventana_dias,operaciones,trades_dia,win_rate,profit_factor,rent_mensual,drawdown_max,r_promedio
BTC,V1 (vivo),100.2,3,0.03,66.7,1.84,0.59,-2.3,0.335
BTC,V10 (nueva),100.2,62,0.619,50.0,1.42,7.1,-14.5,0.197
ETH,V1 (vivo),100.2,30,0.3,60.0,2.12,10.69,-5.4,0.584
ETH,V10 (nueva),100.2,68,0.679,50.0,1.25,5.46,-16.2,0.147
HYPE,V1 (vivo),100.2,37,0.369,59.5,2.59,18.76,-9.4,0.796
HYPE,V10 (nueva),100.2,67,0.669,41.8,1.07,2.17,-29.0,0.073
ADA,V1 (vivo),100.2,7,0.07,42.9,1.43,1.13,-6.5,0.29
ADA,V10 (nueva),100.2,75,0.749,46.7,1.13,3.2,-15.7,0.086
BNB,V1 (vivo),100.2,46,0.459,56.5,1.67,10.39,-15.2,0.376
BNB,V10 (nueva),100.2,49,0.489,42.9,1.02,0.39,-10.1,0.03
SOL,V1 (vivo),100.2,30,0.3,43.3,1.21,2.53,-15.2,0.162
SOL,V10 (nueva),100.2,72,0.719,44.4,1.06,1.62,-30.5,0.054
