mode,rsi_ob,rsi_os,require_bb_touch,require_macd_turn,require_volume,require_adx,rr_ratio,total_trades,symbols_profitable,symbols_total,pnl_net_total,avg_profit_factor,win_rate_weighted,max_drawdown_worst_pct
reversal,80,20,False,False,False,False,2.0,475,0,10,-2606.73,0.52,34.5,-69.7800289710704
reversal,80,20,False,False,False,True,2.0,74,3,10,-178.59,0.75,43.2,-14.034741807652518
reversal,80,20,False,False,True,False,2.0,272,1,10,-1595.89,0.58,34.6,-57.426922735159906
reversal,80,20,False,False,True,True,2.0,42,4,10,-59.83,1.24,47.6,-10.887436389966455
reversal,80,20,False,True,False,False,2.0,365,0,10,-2131.15,0.54,33.4,-64.7889007689664
reversal,80,20,False,True,False,True,2.0,50,2,10,-70.8,0.88,44.0,-10.53849270136454
reversal,80,20,False,True,True,False,2.0,187,2,10,-1335.58,0.55,31.6,-49.118992420233624
reversal,80,20,False,True,True,True,2.0,22,3,10,-12.01,0.62,45.5,-7.456794686398522
reversal,80,20,True,False,False,False,2.0,410,0,10,-2210.83,0.55,35.4,-57.97397771805567
reversal,80,20,True,False,False,True,2.0,71,3,10,-151.8,0.75,43.7,-11.81308630844909
reversal,80,20,True,False,True,False,2.0,248,1,10,-1456.03,0.59,34.7,-51.1421928036948
reversal,80,20,True,False,True,True,2.0,40,4,10,-10.88,1.27,50.0,-8.584443051083305
reversal,80,20,True,True,False,False,2.0,300,1,10,-1681.78,0.58,34.7,-49.617095483225235
reversal,80,20,True,True,False,True,2.0,47,2,10,-43.41,0.87,44.7,-8.155944028434357
reversal,80,20,True,True,True,False,2.0,163,2,10,-1177.52,0.55,31.3,-39.68549941009834
reversal,80,20,True,True,True,True,2.0,20,3,10,37.98,0.68,50.0,-4.992173893987721
reversal,80,25,False,False,False,False,2.0,763,0,10,-3585.03,0.54,34.9,-76.0770682101419
reversal,80,25,False,False,False,True,2.0,132,2,10,-488.83,0.65,39.4,-18.5676707553068
reversal,80,25,False,False,True,False,2.0,447,0,10,-2455.46,0.54,34.2,-61.4975958619277
reversal,80,25,False,False,True,True,2.0,75,2,10,-373.5,0.65,40.0,-18.364049710907455
reversal,80,25,False,True,False,False,2.0,616,0,10,-2742.98,0.58,35.9,-68.95600963686064
reversal,80,25,False,True,False,True,2.0,99,3,10,-181.48,0.86,42.4,-13.906132392189102
reversal,80,25,False,True,True,False,2.0,336,1,10,-1777.67,0.58,34.8,-52.39651416342404
reversal,80,25,False,True,True,True,2.0,47,4,10,-111.99,0.62,44.7,-10.754118408291937
reversal,80,25,True,False,False,False,2.0,661,0,10,-3185.67,0.55,34.9,-64.77827902866703
reversal,80,25,True,False,False,True,2.0,124,2,10,-465.65,0.63,39.5,-16.46316265652788
reversal,80,25,True,False,True,False,2.0,403,0,10,-2158.73,0.57,34.7,-53.93947720158862
reversal,80,25,True,False,True,True,2.0,72,3,10,-305.92,0.68,41.7,-16.254279302416965
reversal,80,25,True,True,False,False,2.0,514,0,10,-2310.3,0.58,36.2,-55.06374413880398
reversal,80,25,True,True,False,True,2.0,92,2,10,-175.92,0.81,42.4,-11.681153157082099
reversal,80,25,True,True,True,False,2.0,293,0,10,-1470.17,0.61,35.5,-43.069684007337074
reversal,80,25,True,True,True,True,2.0,45,4,10,-62.41,0.66,46.7,-8.447679646997939
reversal,80,30,False,False,False,False,2.0,1292,0,10,-5069.52,0.53,35.2,-89.20916721584734
reversal,80,30,False,False,False,True,2.0,246,0,10,-1479.69,0.48,32.9,-32.26933786213069
reversal,80,30,False,False,True,False,2.0,766,0,10,-3477.58,0.53,35.0,-83.6187198862278
reversal,80,30,False,False,True,True,2.0,140,1,10,-933.5,0.46,34.3,-28.430782136052812
reversal,80,30,False,True,False,False,2.0,1079,0,10,-4344.5,0.54,36.1,-80.86407955624189
reversal,80,30,False,True,False,True,2.0,200,2,10,-1115.19,0.51,34.5,-31.468924758699078
reversal,80,30,False,True,True,False,2.0,596,0,10,-2691.84,0.56,35.9,-72.79585583836926
reversal,80,30,False,True,True,True,2.0,103,2,10,-596.92,0.62,36.9,-21.878973327860137
reversal,80,30,True,False,False,False,2.0,1078,0,10,-4459.55,0.54,35.3,-84.34669264171488
reversal,80,30,True,False,False,True,2.0,218,0,10,-1260.25,0.48,33.5,-27.868605720131722
reversal,80,30,True,False,True,False,2.0,667,0,10,-3050.84,0.55,34.8,-80.39476214475697
reversal,80,30,True,False,True,True,2.0,126,1,10,-828.31,0.46,34.1,-26.581172773101112
reversal,80,30,True,True,False,False,2.0,866,0,10,-3536.49,0.56,36.6,-72.22073108501374
reversal,80,30,True,True,False,True,2.0,172,2,10,-883.55,0.52,35.5,-25.064213740038927
reversal,80,30,True,True,True,False,2.0,498,0,10,-2201.45,0.6,35.9,-66.8073382550187
reversal,80,30,True,True,True,True,2.0,89,2,10,-487.36,0.64,37.1,-19.860041352791335
