mode,rsi_ob,rsi_os,require_bb_touch,require_macd_turn,require_volume,require_adx,rr_ratio,total_trades,symbols_profitable,symbols_total,pnl_net_total,avg_profit_factor,win_rate_weighted,max_drawdown_worst_pct
pullback,70,20,False,True,False,True,2.0,139,4,10,-339.09,0.75,43.2,-14.913018242361112
pullback,70,20,False,False,False,True,2.0,171,4,10,-465.1,0.73,42.7,-17.132679641444057
pullback,70,25,False,True,False,True,2.0,167,3,10,-422.82,0.76,42.5,-18.07381857343318
pullback,70,25,False,False,False,True,2.0,210,3,10,-574.79,0.75,42.4,-21.14726804103548
pullback,70,20,True,False,True,True,2.0,90,2,10,-313.33,0.89,38.9,-17.15394495280634
pullback,70,25,True,True,True,True,2.0,78,2,10,-268.04,0.85,38.5,-13.894868057828525
pullback,70,25,True,False,True,True,2.0,108,2,10,-334.66,0.83,39.8,-18.415719540588533
pullback,70,20,True,True,True,True,2.0,66,2,10,-277.5,0.79,37.9,-12.777212903175394
pullback,70,20,False,False,True,True,2.0,95,2,10,-383.02,0.76,37.9,-16.731540394500318
pullback,70,25,True,False,False,True,2.0,184,2,10,-605.73,0.73,41.3,-21.54683023777826
pullback,70,25,False,False,True,True,2.0,115,2,10,-428.98,0.71,38.3,-18.415719540588533
pullback,70,25,False,True,False,False,2.0,212,2,10,-647.15,0.71,42.5,-20.947700943240662
pullback,70,20,False,True,False,False,2.0,175,2,10,-535.3,0.69,42.9,-17.520798209170312
pullback,70,25,True,True,False,True,2.0,141,2,10,-465.8,0.69,41.1,-18.788093166475566
pullback,70,20,True,False,False,True,2.0,148,2,10,-502.67,0.68,41.2,-17.511207768910232
pullback,70,20,False,True,True,True,2.0,71,2,10,-344.81,0.67,36.6,-14.139283530310012
pullback,70,25,False,True,True,True,2.0,85,2,10,-360.63,0.67,36.5,-13.894868057828525
pullback,70,20,False,False,False,False,2.0,214,2,10,-742.75,0.66,41.6,-22.806957332543526
pullback,70,20,True,True,False,True,2.0,116,2,10,-387.97,0.66,41.4,-14.050844866417581
pullback,70,25,False,False,True,False,2.0,146,2,10,-561.16,0.66,39.0,-22.22056423911722
pullback,70,30,False,False,False,True,2.0,308,2,10,-1044.38,0.66,40.9,-30.929140569761117
pullback,70,30,True,False,False,True,2.0,268,2,10,-1034.69,0.66,39.9,-32.89175827638506
pullback,70,30,True,False,True,True,2.0,155,2,10,-742.7,0.66,36.1,-22.965452349005407
pullback,70,30,False,True,False,True,2.0,249,2,10,-921.7,0.65,41.0,-25.805264219740415
pullback,70,25,True,False,False,False,2.0,233,2,10,-963.43,0.64,39.9,-31.845924303837776
pullback,70,20,False,False,True,False,2.0,117,2,10,-504.43,0.62,38.5,-18.53339099026897
pullback,70,25,False,True,True,False,2.0,108,2,10,-424.22,0.61,39.8,-18.030732996843607
pullback,70,25,True,False,True,False,2.0,137,1,10,-516.97,0.71,39.4,-24.73589076959727
pullback,70,25,False,False,False,False,2.0,266,1,10,-909.22,0.67,41.4,-27.094920115789577
pullback,70,25,True,True,False,False,2.0,179,1,10,-718.02,0.66,40.8,-25.60808295348696
pullback,70,30,False,False,True,True,2.0,168,1,10,-743.39,0.64,36.3,-21.368280806881636
pullback,70,30,True,True,False,True,2.0,208,1,10,-906.65,0.64,39.9,-26.949474352700037
pullback,70,25,True,True,True,False,2.0,99,1,10,-383.0,0.63,40.4,-20.681555414878368
pullback,70,20,True,False,True,False,2.0,110,1,10,-485.28,0.62,38.2,-19.464409321122854
pullback,70,20,True,False,False,False,2.0,184,1,10,-819.5,0.61,39.7,-27.837395123486747
pullback,70,20,True,True,False,False,2.0,145,1,10,-626.1,0.61,40.7,-22.895719048122327
pullback,70,30,True,True,True,True,2.0,108,1,10,-655.7,0.61,35.2,-20.04540197842914
pullback,70,30,False,True,True,True,2.0,121,1,10,-651.3,0.6,35.5,-20.04540197842914
pullback,70,20,False,True,True,False,2.0,88,1,10,-398.94,0.58,39.8,-15.011735182457198
pullback,70,20,True,True,True,False,2.0,81,1,10,-381.18,0.58,39.5,-16.918087897684835
pullback,70,30,True,True,False,False,2.0,271,1,10,-1406.78,0.54,38.7,-29.847575806056227
pullback,70,30,False,False,False,False,2.0,398,0,10,-1682.44,0.58,39.4,-35.74898656912445
pullback,70,30,False,True,False,False,2.0,320,0,10,-1407.36,0.57,40.0,-29.32221869105488
pullback,70,30,False,False,True,False,2.0,215,0,10,-1111.78,0.56,35.8,-31.50310844889459
pullback,70,30,True,False,False,False,2.0,350,0,10,-1686.55,0.56,38.3,-36.65681470606489
pullback,70,30,True,False,True,False,2.0,199,0,10,-1129.8,0.55,35.2,-33.7182447106642
pullback,70,30,False,True,True,False,2.0,155,0,10,-912.28,0.53,36.1,-28.55826886913376
pullback,70,30,True,True,True,False,2.0,139,0,10,-934.17,0.5,35.3,-30.868638955249335
